recno,TYC1,TYC2,TYC3,BTmag,VTmag,HIP,RA(ICRS),DE(ICRS)
1004993,3888,1885,1,7.611,5.85,84950,260.43896333,53.42042417
1005297,3890,1396,1,6.224,5.693,83608,256.33460611,54.47038444
1005298,3890,1396,2,6.171,5.656,83608,256.33408417,54.46986639
1005584,3892,1620,1,5.171,4.899,85819,263.04343111,55.18411472
1005585,3892,1621,1,5.185,4.87,85829,263.06617972,55.17281222
1008886,3910,1710,1,5.253,3.853,87585,268.38180861,56.87246222
1006322,3897,1058,1,6.882,6.23,85923,263.38167389,57.55870806
877781,3495,1892,1,7.716,6.072,79953,244.79679861,49.03808444
878384,3498,2324,1,7.652,6.424,80710,247.18089611,51.40772389
1003071,3879,2961,1,5.456,5.498,81290,249.04763111,52.89998389
1003070,3879,2960,2,5.303,5.376,81292,249.05721639,52.92436028
1003849,3882,2599,1,6.276,6.183,81840,250.74335222,55.68993222
1003599,3881,2550,1,5.742,5.734,80375,246.10553111,55.2050475
1003848,3882,2598,1,6.628,5.397,81437,249.5019125,56.01539556
1003847,3882,2597,1,5.269,4.881,82020,251.32411861,56.7816975
1005922,3894,1488,1,7.539,6.171,83138,254.83986194,56.68850917
1006202,3896,1507,1,8.071,6.38,85692,262.68150444,57.87685667
1097394,4198,1814,1,5.676,5.647,85290,261.42234639,60.04834333
1097393,4198,1813,1,7.716,6.44,84496,259.12269083,60.67058167
1095723,4191,2696,1,7.44,6.256,83289,255.32073028,60.64866111
1097591,4199,1513,1,5.927,5.281,86036,263.74693361,61.87575722
321920,1465,1157,1,6.921,5.736,66763,205.25981833,22.49582889
451779,1998,738,1,8.04,6.282,66992,205.93806389,22.70051306
452443,2002,1055,1,6.578,6.024,67239,206.68055778,25.70237333
451844,1998,1193,1,7.796,5.91,66417,204.24624444,24.61330222
451545,1997,52,1,7.353,6.215,66086,203.20072917,24.34718861
451622,1997,630,1,5.858,5.757,65466,201.27785306,23.8544375
450866,1994,2595,1,7.594,6.425,64417,198.03509528,24.25812667
453389,2009,85,1,6.456,6.246,68478,210.29387778,27.38654861
452444,2002,1056,1,6.901,5.167,68103,209.14234833,27.49219139
452792,2005,305,1,6.149,5.934,67782,208.29315667,28.64806639
452745,2004,1718,1,7.922,6.357,66725,205.16300361,28.06514167
591004,2537,1351,1,7.435,6.313,66690,205.06510556,31.01182361
592089,2544,1175,1,6.915,5.716,67384,207.1614125,31.19012
592030,2544,843,1,6.764,6.347,68065,209.04391278,32.03248611
592591,2547,1181,1,6.878,4.94,67665,207.94787444,34.44431528
592590,2547,1180,1,8.026,6.074,67605,207.78837361,34.66452639
451533,1996,2400,1,4.946,4.304,64394,197.97039389,27.87601972
451311,1996,818,1,7.966,6.335,64077,196.97357639,27.55609639
451534,1996,2401,1,6.727,4.952,64022,196.79462222,27.6248975
589835,2532,2226,1,6.334,5.018,63462,195.06868611,30.78503583
591468,2540,1221,1,7.052,6.074,66907,205.68092389,34.988995
591918,2543,1189,1,5.215,4.98,66458,204.36538583,36.2948425
591131,2538,780,1,7.583,5.949,64927,199.6154525,34.09829111
591513,2541,302,1,6.324,6.038,64979,199.76779944,35.12793611
591583,2541,727,1,8.27,6.311,65376,200.97466389,37.03394694
591750,2542,1094,1,5.413,4.978,66257,203.69895778,37.18243667
741415,3026,391,1,6.639,6.396,66223,203.59104583,38.78921194
592262,2545,1192,1,7.769,6.272,69316,212.81306667,32.29580222
594564,2559,1174,1,7.732,6.336,70762,217.06856361,36.19702
593388,2552,1081,1,6.143,4.913,69879,214.49923361,35.50947361
742845,3035,273,1,7.881,6.419,70517,216.37145083,38.39309972
742909,3035,828,1,6.384,6.317,70029,214.94883,38.79407361
742899,3035,734,1,6.808,6.42,69735,214.10157028,39.74469472
743410,3038,735,1,7.592,6.346,69569,213.59818583,41.51900306
594563,2559,1173,1,7.839,6.162,71277,218.66049083,36.62617
594562,2559,1172,1,7.001,6.441,71168,218.33445194,36.95919278
743126,3036,1151,1,3.266,3.043,71075,218.01981222,38.30790306
744811,3046,991,1,7.562,5.876,72012,220.9351825,40.45920722
743511,3039,237,1,7.242,6.439,70873,217.40286444,41.79642278
744121,3042,1024,1,7.667,5.896,71568,219.55278778,43.64205667
744120,3042,1023,1,5.423,5.39,71618,219.70949694,44.40454278
592966,2550,350,1,6.724,6.463,67483,207.43741833,36.63277
741517,3026,1230,1,7.112,6.024,67210,206.57956722,38.50365389
741693,3027,1203,1,6.841,5.618,67250,206.74945778,38.54274639
742006,3029,1105,1,6.134,5.904,67194,206.55679694,41.08884444
742002,3029,1068,1,7.402,6.388,66892,205.62029722,41.6742525
741840,3028,1186,1,7.463,6.187,65951,202.81599528,42.10609028
873309,3472,1264,1,4.274,4.181,69732,214.09653667,46.08793778
743780,3040,969,1,7.138,5.394,69038,211.98227778,43.85452083
872242,3465,1126,1,8.052,6.426,68567,210.55069389,45.75363667
873835,3475,1199,1,6.858,6.369,69862,214.45504306,48.00209056
872688,3468,1122,1,7.431,5.452,69068,212.07230833,49.45803056
874343,3478,1334,1,6.263,6.202,69818,214.33816889,51.30738917
874342,3478,1333,1,5.002,4.763,69713,214.04193194,51.36702528
873141,3471,1250,1,4.754,4.535,69483,213.37063417,51.78999
873142,3471,1252,1,6.18,6.151,68637,210.74905917,50.97182556
589825,2532,2114,1,6.488,6.259,62972,193.55477,33.53440694
590239,2534,304,1,5.119,5.185,63901,196.43525444,35.79885389
740240,3021,2645,1,2.788,2.845,63125,194.00763222,38.3182475
588511,2528,2057,1,6.692,5.521,61309,188.41210972,33.24765556
588538,2528,2277,1,7.569,6.354,61320,188.447545,33.38469444
590059,2533,1452,1,6.494,6.397,61748,189.82020139,35.95196611
740239,3021,2644,1,6.066,5.893,62641,192.54500417,37.51688778
740228,3021,2548,1,6.618,6.018,62207,191.24857806,39.27859722
590212,2534,165,1,7.531,6.145,64212,197.41132722,37.42313194
740594,3022,2310,1,6.271,5.947,64246,197.51360444,38.49887722
740593,3022,2308,1,6.122,6.257,64217,197.42517028,38.53387111
741841,3028,1187,1,7.169,5.73,65072,200.07913944,40.15055694
740592,3022,2307,1,6.278,5.048,64540,198.42907917,40.15284889
740590,3022,2305,1,6.008,5.802,64692,198.88350917,40.85517556
740591,3022,2306,1,5.074,4.737,64844,199.38597667,40.57256556
870722,3459,2148,1,7.127,5.766,63916,196.46782917,45.2684925
870720,3459,2146,1,7.412,6.219,63211,194.28251111,46.17691444
870719,3459,2145,1,7.73,6.022,63024,193.73556389,47.19673778
739286,3018,2755,1,6.206,5.117,60646,186.46247111,39.01869472
739918,3020,2541,1,4.955,4.309,61317,188.43780944,41.35681167
739068,3018,747,1,6.594,6.378,61692,189.69290194,40.87469361
739794,3020,1698,1,6.451,6.066,60467,185.94613556,42.54271111
738973,3017,2100,1,7.773,5.858,59831,184.03140306,40.66025139
739564,3019,2030,1,5.534,5.241,58684,180.52936861,43.04547556
740719,3023,892,1,6.884,6.389,62172,191.113015,44.10299417
870721,3459,2147,1,9.664,5.664,62223,191.2826225,45.44022056
870718,3459,2144,1,6.473,6.269,62516,192.17440306,48.46681139
869384,3455,2114,1,7.766,6.45,60305,185.48456556,47.18225694
870046,3457,1877,1,7.408,5.471,60122,184.95301222,48.98413333
870388,3458,2328,1,5.864,4.859,60485,186.00618111,51.56223167
871097,3460,2493,1,7.132,5.983,65550,201.56907361,46.02810194
742326,3031,1105,1,6.641,6.364,65230,200.51654083,43.90333667
872412,3466,1270,1,4.84,4.685,66234,203.61404167,49.01591
871769,3462,2651,1,5.068,5.13,64906,199.5605825,49.68201611
872849,3469,1262,1,6.958,6.39,66704,205.09726444,50.51928167
872696,3469,14,1,6.034,6.019,67005,205.97831389,52.06442806
871741,3462,2378,1,6.881,6.464,65754,202.19082472,50.71874389
997362,3851,126,1,5.602,5.472,66634,204.87739806,52.92107722
997274,3850,692,1,6.641,6.376,65678,201.99884639,52.74563944
997533,3851,1508,1,5.651,5.689,67848,208.46266861,53.72869194
997532,3851,1507,1,5.623,5.668,67231,206.64864278,54.43269083
997531,3851,1506,1,6.782,4.828,66738,205.18454833,54.68165917
997798,3853,413,1,5.568,5.585,66198,203.53051694,55.3484475
997350,3850,1384,1,4.203,4.007,65477,201.30592361,54.98799833
870389,3458,2329,1,6.832,6.27,60988,187.51289278,51.53557139
995779,3841,1303,1,6.878,6.268,61053,187.70882556,53.07618278
995947,3842,1310,1,6.246,6.04,63143,194.07350083,54.09948333
994570,3834,1091,1,7.539,5.948,59920,184.37318306,53.19143556
994513,3834,663,1,7.531,6.289,59708,183.68095556,53.43466889
996313,3844,1299,1,7.733,5.868,60795,186.89635,55.71275139
995107,3837,1071,1,7.918,6.017,60584,186.26342833,56.77785778
995629,3840,1167,1,7.43,5.694,60212,185.21180222,57.86428
995106,3837,1070,1,3.41,3.298,59774,183.85605417,57.03259861
996473,3845,1189,1,5.393,5.023,63503,195.18162639,56.36633222
1089655,4162,1200,1,6.389,5.885,62512,192.16393056,60.31989528
1090133,4165,584,1,6.128,5.905,62402,191.8288625,62.78113889
1090121,4165,534,1,6.066,6.017,61936,190.39144806,62.71307861
996836,3847,1128,1,5.601,5.374,60978,187.48914944,58.40553472
996835,3847,1127,1,7.322,6.175,60992,187.51761139,58.76780917
1088541,4157,63,1,7.72,6.272,58989,181.41566444,62.93328722
1088863,4158,803,1,7.461,6.41,60589,186.27659611,63.80277389
874829,3481,1099,1,6.228,6.335,73454,225.16135583,47.27740417
875493,3484,1580,1,5.846,5.203,73695,225.94862694,47.65401944
875494,3484,1580,2,7.015,6.095,73695,225.94914833,47.65433306
875492,3484,1579,1,5.571,5.575,73841,226.35787139,48.15090417
876056,3487,1099,1,7.672,6.444,74083,227.08141972,50.05500556
873628,3474,1062,1,6.312,5.811,72487,222.32781333,46.116385
874185,3477,1328,1,6.849,6.306,72524,222.42232528,48.72057194
874183,3477,1326,1,6.248,5.689,73100,224.09560056,49.62897722
876243,3488,1291,1,5.788,5.656,75043,230.02142167,51.95848944
876415,3489,1587,1,5.419,5.473,76957,235.71175194,52.36083417
1001084,3870,1962,1,5.28,4.987,78180,239.44827944,54.7495125
1000704,3869,494,1,7.506,6.098,76311,233.81756583,53.92214139
1000841,3869,1583,1,5.816,5.769,76376,233.98781972,54.63056694
1000842,3869,1584,1,7.269,5.969,76509,234.38350417,54.5087825
1001721,3873,1891,1,6.177,5.909,77370,236.90797694,55.37661472
1001720,3873,1890,1,7.791,6.083,77272,236.6453275,55.47460944
1001719,3873,1889,1,7.047,5.909,77738,238.06909056,55.82658583
1000695,3869,441,1,6.521,6.443,75587,231.63405694,54.02032556
999334,3861,1445,1,6.454,5.355,73909,226.5694625,54.55628917
1001409,3872,547,1,6.543,6.439,75788,232.23679194,55.19485333
874006,3476,1538,1,7.81,5.916,71280,218.66525111,49.36823861
873834,3475,1198,1,6.655,5.681,70791,217.15865778,49.84495944
874341,3478,1332,1,4.63,4.1,70497,216.30004639,51.85167972
999128,3860,1669,1,5.818,5.816,71573,219.56335722,54.02338361
998825,3859,355,1,6.67,6.492,69958,214.73302806,54.86377417
999725,3863,1548,1,7.732,5.9,71111,218.12887806,55.39804389
1002125,3875,1620,1,4.805,3.421,75458,231.23243,58.96602417
1093325,4181,1850,1,7.809,6.078,75696,231.964345,60.67022361
1093090,4180,1945,1,6.042,5.924,73507,225.36295222,60.20442639
1093324,4181,1849,1,5.939,5.979,75256,230.65519417,62.04716528
1000439,3867,1441,1,7.282,5.636,72664,222.8607025,59.29367083
1091717,4173,1663,1,6.541,6.295,71040,217.92861083,60.22559139
1091715,4173,1661,1,6.723,6.33,71876,220.51317722,61.26198417
1094473,4186,1373,1,6.592,4.865,73199,224.3963125,65.93238694
1003903,3883,368,1,6.368,6.334,79125,242.2621475,57.93780389
1004051,3883,1543,1,4.633,4.055,78527,240.47369444,58.56448083
1004050,3883,1542,1,7.441,5.612,79804,244.313915,59.75496361
1095445,4190,2568,1,3.85,2.801,80331,245.99794306,61.51408333
1095443,4190,2567,1,7.265,6.153,80309,245.94662028,61.69638417
1095446,4190,2569,1,5.959,5.923,80991,248.10689917,60.82334472
1096229,4193,2535,1,8.21,6.336,81358,249.22911861,63.07303139
1002266,3876,1055,1,6.259,6.299,78017,238.95690139,58.9117125
1003892,3883,285,1,8.257,6.366,78632,240.78903278,59.41080806
1098166,4202,1457,1,5.785,5.566,84183,258.13566667,62.8742225
1096497,4194,2513,1,7.326,6.202,83359,255.56572667,64.60065917
1099605,4210,1048,1,3.016,3.132,83895,257.19677278,65.71463972
1096228,4193,2534,1,6.393,4.977,81660,250.22966361,64.58908389
1097226,4197,2429,1,5.45,4.937,82860,254.00573194,65.13467889
1154795,4421,2880,1,6.428,5.192,85805,262.99120417,68.13472194
1156765,4428,1960,1,5.279,4.821,86201,264.23788111,68.75723278
1157736,4432,1604,1,7.054,6.404,86184,264.16678139,69.57122889
1158652,4436,1426,1,5.803,5.453,87728,268.79640889,72.00513306
1094260,4185,1959,1,5.257,5.2,77277,236.666485,62.59968861
1093323,4181,1848,1,8.108,6.471,75822,232.33802917,62.09955028
1094024,4184,1638,1,7.442,5.863,75260,230.66014194,63.34165361
1094023,4184,1637,1,6.979,5.847,75974,232.73295194,64.20851556
1096716,4195,2312,1,7.479,6.322,79414,243.10573889,67.14427444
1154080,4419,2888,1,5.402,5.435,78893,241.58220944,67.80999083
1094322,4186,437,1,6.271,6.215,73706,225.99056472,65.91973444
