TYC1,TYC2,TYC3,VTmag,HIP,RA(ICRS),DE(ICRS),recno
721,2267,1,13.168,,91.51216806,9.56024,146848
722,291,1,13.13,,85.07511083,12.41490111,146965
723,736,1,13.304,,87.03112333,11.69452639,147363
724,1520,1,13.091,,89.72554167,11.46696917,147749
724,1867,1,13.457,,89.38398778,12.21642194,147791
725,1635,1,13.108,,90.52467583,11.52569167,148247
725,2253,1,13.582,,91.18222361,13.02170667,148367
727,568,1,13.552,,86.20404972,13.96440917,148675
727,1064,1,13.228,,87.09383917,13.99680167,148773
727,1182,1,13.241,,87.80833111,13.31270778,148801
727,1554,1,13.072,,86.30415917,14.38821417,148877
728,1032,1,13.306,,88.67887028,14.02587389,149088
729,724,1,13.114,,90.87231861,13.91111972,149519
730,282,1,13.239,,92.78413139,9.27123361,149855
730,852,1,13.173,,93.49891167,9.04997361,149953
730,1757,1,13.522,,93.61825,8.5964625,150102
730,1844,1,13.794,,92.76302278,8.22114194,150112
733,712,1,13.347,,98.9163425,8.52370778,151378
734,884,1,13.578,,93.37249583,10.93564278,151848
735,1734,1,13.155,,93.88650917,10.943955,152450
738,157,1,13.141,,93.24071917,12.78934861,153380
738,1612,1,13.16,,92.41826806,11.88808444,153683
739,775,1,13.066,,93.87217611,11.30350806,153999
740,1228,1,13.388,,96.832465,11.42800472,154562
742,312,1,13.172,,93.15156583,14.75082306,155008
742,805,1,13.077,,93.02088972,14.72044361,155089
742,1201,1,13.092,,93.6261475,14.29464778,155155
743,117,1,13.246,,94.70502056,14.8128775,155385
746,535,1,13.388,,100.02231111,8.81088333,156504
749,1048,1,13.396,,106.43687528,8.6308275,158014
749,1563,1,13.243,,106.49524972,8.25603167,158128
749,1998,1,13.261,,106.3473475,8.12247528,158228
749,2089,1,13.162,,105.92483694,7.67217222,158256
749,2299,1,14.375,,107.14093056,8.08774722,158310
749,2449,1,13.143,,106.45411861,8.26947056,158345
751,923,1,13.183,,103.03000333,10.67150444,158902
752,1709,1,13.194,,104.27937333,10.38508167,159599
753,359,1,13.079,,107.07855028,9.64923194,159846
753,631,1,13.46,,107.08108667,9.93601056,159882
753,713,1,13.318,,106.90485028,9.5959675,159893
754,1699,1,13.194,,100.49998278,11.87283056,160567
756,1648,1,13.087,,103.59981778,12.13294944,161492
759,609,1,13.591,,102.6135425,14.61605889,162560
759,1079,1,13.482,,101.75582306,14.62895444,162646
761,311,1,13.307,,106.83987639,14.80966,163533
761,1176,1,13.122,,105.79721083,13.15770944,163687
762,2873,1,13.078,,107.50871583,8.25569833,164313
763,413,1,13.249,,109.66508167,9.18229806,164520
764,559,1,13.258,,111.69907139,8.58591056,165001
764,691,1,13.113,,112.84004333,9.04284278,165019
764,779,1,13.114,,112.41311083,8.83710194,165028
764,2180,1,13.225,,111.34700639,8.0937625,165179
765,91,1,13.334,,114.19893528,8.98098583,165268
765,1305,1,13.278,,114.3714825,8.1101875,165537
766,562,1,13.488,,108.6200975,9.89794972,165736
766,1177,1,13.234,,108.04293806,11.00718444,165859
767,1807,1,13.291,,109.87402,11.00362222,166472
768,1366,1,13.98,,112.36523139,9.68673917,166799
770,768,1,13.079,,107.24183917,12.88543389,167365
770,1796,1,13.312,,109.03387611,11.6868675,167540
771,730,1,13.172,,110.60675944,11.50251944,167804
775,1422,1,13.523,,109.93075222,13.67521778,169340
778,1597,1,13.18,,115.75118917,8.85468278,170350
787,76,1,13.068,,117.73926917,12.91660083,172160
787,871,1,13.113,,117.49868333,12.66102583,172372
791,496,1,13.074,,117.85035111,14.27732306,173156
791,596,1,13.416,,117.40140833,14.15620472,173185
796,1675,1,13.269,,128.13551833,7.98610667,174368
797,1283,1,13.207,,130.04681417,7.59505028,174516
798,1708,1,13.534,,124.19731167,9.75976444,174748
