TYC1,TYC2,TYC3,VTmag,HIP,RA(ICRS),DE(ICRS),recno
5,398,1,11.29,,4.98847528,4.31657444,769
5,401,1,11.826,,3.44493028,4.30725306,771
5,404,1,11.855,,4.60584333,3.75966306,772
5,421,1,11.153,,4.10626111,4.79148056,774
5,423,1,12.199,,3.48107722,3.77002028,775
5,428,1,12.276,,3.92536333,3.71989028,776
5,435,1,12.727,,3.04411417,3.67490556,777
5,438,1,11.163,,2.57416833,4.29703972,779
5,444,1,11.816,,4.52359861,4.49651611,780
5,450,1,11.868,,3.40088528,3.96113806,782
5,481,1,12.447,,4.51958861,4.44618056,785
5,502,1,11.592,,4.76855389,4.54296611,788
5,512,1,11.758,,4.59719583,4.71253306,790
5,519,1,11.598,,2.63536417,4.60483556,792
5,522,1,11.619,,4.92070194,3.64397444,793
5,532,1,12.823,,2.85965889,4.20751333,794
5,556,1,13.204,,2.95876389,4.75554028,798
5,578,1,12.054,,4.94166583,4.22828556,799
5,599,1,12.236,,4.95286028,4.32137306,800
5,602,1,11.515,,3.71710361,3.62799194,801
5,621,1,12.055,,3.30904889,3.95805389,803
5,627,1,11.038,,4.01598111,4.60866083,805
5,636,1,11.982,,3.36148722,4.14732444,807
5,645,1,12.196,,4.90884639,4.70938139,808
5,669,1,11.503,,3.97334083,4.27309056,811
5,700,1,12.108,,4.17371028,4.86790778,813
5,701,1,11.663,,4.70603944,3.90663056,814
5,706,1,11.66,,4.37807389,3.63667778,815
5,709,1,12.548,,3.6956075,4.44191639,816
5,737,1,11.865,,4.6391125,4.25402306,817
5,738,1,11.072,,2.72338639,3.82049417,818
5,747,1,11.524,,3.83909194,4.79889583,819
5,755,1,11.096,,4.05532917,3.83283389,820
5,760,1,12.12,,3.69093917,4.15026389,821
5,768,1,12.08,,4.65734972,3.83382222,822
5,773,1,12.237,,3.59907444,4.18313167,823
5,774,1,12.183,,2.51118,4.97627306,824
5,805,1,11.589,,3.86661083,4.38561889,830
5,814,1,11.199,,4.60932667,3.79793139,831
5,887,1,12.405,,4.12184556,2.777145,835
5,891,1,11.713,,3.83541444,2.69983583,836
5,899,1,12.264,,4.81250917,2.66494083,837
5,917,1,11.432,,4.82147944,2.59147222,839
5,935,1,11.979,,4.16308667,2.71363056,841
5,937,1,12.032,,4.11025167,3.17908,842
5,941,1,12.479,,4.57894667,2.62723056,843
5,947,1,11.603,,4.48582694,2.54325861,844
5,953,1,11.409,,4.50423833,3.17788194,845
5,991,1,11.755,,4.19942361,2.90972778,848
5,1025,1,11.579,,4.05804083,3.14050194,851
5,1035,1,11.246,,3.83744972,2.56674333,852
5,1037,1,11.235,,4.91592611,3.34218,853
5,1050,1,12.142,,3.90441083,2.99933306,854
5,1053,1,11.526,,4.5409625,2.76867778,855
5,1069,1,12.624,,3.77009056,3.55568472,856
5,1073,1,11.958,,3.20712583,3.55046528,857
5,1143,1,11.857,,3.9722725,3.36043389,858
5,1261,1,11.527,,4.19463306,3.51387917,860
5,1331,1,11.819,,3.99055083,3.34932833,862
5,1566,1,11.761,,4.85900556,3.47274611,871
5,1643,1,12.169,,3.52061694,3.27472528,872
6,4,1,12.365,,7.4966325,3.38609167,873
6,10,1,11.464,,5.00410194,3.9203275,875
6,15,1,12.125,,5.0021725,4.79306111,876
6,16,1,13.925,,5.02472333,4.31455722,877
6,19,1,11.415,,5.02465806,4.02995778,878
6,29,1,11.067,,7.47174056,4.75650944,879
6,52,1,11.749,,7.31269611,4.51859722,880
6,82,1,11.136,,6.49036111,4.11181194,882
6,85,1,12.193,,6.85060111,4.43695944,883
6,86,1,11.425,,5.97741,4.84646556,884
6,88,1,13.096,,6.82233083,4.20339444,885
6,101,1,12.444,,5.19723389,4.79497611,886
